HSCode,Name,Metro_Area,City,Admitted2015,Enrolled2015,enrolled2015PctSeniors,campus_url,twelfthcount,allstudentscount,BlackHispMulti,WhiteOther,Color,african_american_percent,hispanic_percent,atRiskPct,ecoDisPct,collegeReadyBothPct
2444916,Byron Nelson High School,Dallas-Fort Worth-Arlington,Trophy Club,26,18,0.034,/districts/northwest-isd/byron-nelson-high-school/,532,2552,0.29,0.71,White,8.4,18.8,0.221,0.132,0.62
2442513,C F Brewer High School,Dallas-Fort Worth-Arlington,Fort Worth,7,3,0.009,/districts/white-settlement-isd/brewer-high-school/,352,1726,0.46,0.54,White,6.1,36.2,0.521,0.454,0.53
2442963,Carroll Senior High School,Dallas-Fort Worth-Arlington,Southlake,83,39,0.059,/districts/carroll-isd/carroll-senior-high-school/,666,1284,0.14,0.86,White,3,8.4,0.094,0.011,0.9
2442512,Castleberry High School,Dallas-Fort Worth-Arlington,River Oaks,4,2,0.013,/districts/castleberry-isd/castleberry-high-school/,153,928,0.79,0.21,Minority,1.3,77,0.523,0.694,0.48
2441170,Cedar Hill High School,Dallas-Fort Worth-Arlington,Cedar Hill,16,11,0.02,/districts/cedar-hill-isd/cedar-hill-high-school/,550,1728,0.91,0.09,Minority,68.6,20.8,0.559,0.583,0.38
2441185,Celina High School,Dallas-Fort Worth-Arlington,Celina,5,2,0.014,/districts/celina-isd/celina-high-school/,147,677,0.27,0.73,White,4,20.5,0.157,0.227,0.7
2442633,Centennial High School,Dallas-Fort Worth-Arlington,Frisco,37,24,0.044,/districts/frisco-isd/centennial-high-school/,544,2061,0.27,0.73,White,8.9,15.1,0.175,0.1,0.83
2442583,Central High School,Dallas-Fort Worth-Arlington,Keller,25,14,0.024,/districts/keller-isd/central-high-school/,593,2570,0.35,0.65,White,8.7,21.1,0.274,0.195,0.7
2441335,Cleburne High School,Dallas-Fort Worth-Arlington,Cleburne,10,4,0.014,/districts/cleburne-isd/cleburne-high-school/,296,1653,0.49,0.51,White,4.2,42.5,0.578,0.587,0.55
2441408,Colleyville Heritage High School,Dallas-Fort Worth-Arlington,Colleyville,52,30,0.054,/districts/grapevine-colleyville-isd/colleyville-heritage-high-school/,554,2219,0.29,0.71,White,5.5,18.6,0.311,0.126,0.84
2446989,Colony High School,Dallas-Fort Worth-Arlington,The Colony,9,7,0.016,/districts/lewisville-isd/the-colony-high-school/,443,1987,0.46,0.54,White,10.7,31.8,0.253,0.363,0.55
2441485,Coppell High School,Dallas-Fort Worth-Arlington,Coppell,124,68,0.095,/districts/coppell-isd/coppell-high-school/,714,3124,0.21,0.79,White,5,12.4,0.197,0.097,0.85
2441585,Crandall High School,Dallas-Fort Worth-Arlington,Crandall,2,2,0.011,/districts/crandall-isd/crandall-high-school/,184,920,0.28,0.72,White,10.3,16.3,0.399,0.335,0.63
2441144,Creekview High School,Dallas-Fort Worth-Arlington,Carrollton,21,13,0.028,/districts/carrollton-farmers-branch-isd/creekview-high-school/,457,1963,0.59,0.41,Minority,13.8,43.7,0.452,0.489,0.57
2441647,Crowley High School,Dallas-Fort Worth-Arlington,Crowley,3,2,0.005,/districts/crowley-isd/crowley-high-school/,436,1994,0.71,0.29,Minority,37.4,30.4,0.599,0.606,0.36
2441729,David W Carter High School,Dallas-Fort Worth-Arlington,Dallas,3,2,0.01,/districts/dallas-isd/david-w-carter-high-school/,204,1039,0.99,0.01,Minority,74,24.9,0.794,0.783,0.27
2441870,Decatur High School,Dallas-Fort Worth-Arlington,Decatur,5,4,0.019,/districts/decatur-isd/decatur-high-school/,207,896,0.32,0.68,White,1.2,29.7,0.362,0.319,0.61
