High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Celina High School,Dallas-Fort Worth-Arlington,Celina,0.01361,0.27,0.73,0.157,0.227,0.7,1506,21.9,5,2,White
Cleburne High School,Dallas-Fort Worth-Arlington,Cleburne,0.01351,0.494,0.505,0.578,0.587,0.55,1408,21.6,10,4,White
Terrell High School,Dallas-Fort Worth-Arlington,Terrell,0.01322,0.691,0.309,0.803,0.657,0.48,1360,19.9,4,3,Minority
Billy C Ryan High School,Dallas-Fort Worth-Arlington,Denton,0.01321,0.512,0.488,0.49,0.483,0.57,1442,20.4,10,7,Minority
Richland Senior High School,Dallas-Fort Worth-Arlington,N Richland Hills,0.01316,0.371,0.63,0.293,0.39,0.64,1524,21.9,11,7,White
Castleberry High School,Dallas-Fort Worth-Arlington,River Oaks,0.01307,0.788,0.21,0.523,0.694,0.48,1282,17.6,4,2,Minority
Lancaster High School,Dallas-Fort Worth-Arlington,Lancaster,0.01302,0.968,0.032,0.379,0.795,0.3,1198,16.4,17,5,Minority
Lewisville High School,Dallas-Fort Worth-Arlington,Lewisville,0.01282,0.647,0.353,0.447,0.497,0.51,1434,20.1,21,12,Minority
Red Oak High School,Dallas-Fort Worth-Arlington,Red Oak,0.01263,0.545,0.454,0.304,0.385,0.52,1440,21,7,5,Minority
Rowlett High School,Dallas-Fort Worth-Arlington,Rowlett,0.01260,0.56,0.439,0.554,0.345,0.65,1472,21,12,8,Minority
Northwest High School,Dallas-Fort Worth-Arlington,Justin,0.01195,0.299,0.702,0.332,0.204,0.52,1452,21.8,16,7,White
Haltom High School,Dallas-Fort Worth-Arlington,Haltom City,0.01105,0.6,0.401,0.611,0.658,0.44,1373,19.6,14,6,Minority
Sachse High School,Dallas-Fort Worth-Arlington,Sachse,0.01087,0.533,0.466,0.555,0.367,0.6,1472,22.1,14,7,Minority
Crandall High School,Dallas-Fort Worth-Arlington,Crandall,0.01087,0.279,0.721,0.399,0.335,0.63,1464,20.2,2,2,White
North Mesquite High School,Dallas-Fort Worth-Arlington,Mesquite,0.01066,0.836,0.164,0.587,0.722,0.43,1306,18.5,17,6,Minority
James Bowie High School,Dallas-Fort Worth-Arlington,Arlington,0.01064,0.72,0.28,0.671,0.601,0.47,1381,19.7,18,7,Minority
Dr John D Horn High School,Dallas-Fort Worth-Arlington,Mesquite,0.01018,0.753,0.247,0.411,0.486,0.58,1394,19.5,10,5,Minority
Desoto High School,Dallas-Fort Worth-Arlington,Desoto,0.01003,0.965,0.036,0.404,0.598,0.36,1250,17,21,6,Minority
Irving High School,Dallas-Fort Worth-Arlington,Irving,0.01000,0.907,0.092,0.763,0.737,0.51,1213,17.3,15,5,Minority
Little Elm High School,Dallas-Fort Worth-Arlington,Little Elm,0.00993,0.586,0.415,0.568,0.423,0.57,1421,20.3,6,3,Minority
Godley High School,Dallas-Fort Worth-Arlington,Godley,0.00990,0.229,0.772,0.471,0.441,0.62,1401,21.2,1,1,White
David W Carter High School,Dallas-Fort Worth-Arlington,Dallas,0.00980,0.992,0.008,0.794,0.783,0.27,1140,15.1,3,2,Minority
Wilmer-Hutchins High School,Dallas-Fort Worth-Arlington,Dallas,0.00962,0.988,0.011,0.775,0.853,0.23,1146,14.6,3,2,Minority
Glen Rose High School,Dallas-Fort Worth-Arlington,Glen Rose,0.00943,0.315,0.684,0.4,0.318,0.51,1419,20.1,3,1,White
Forney High School,Dallas-Fort Worth-Arlington,Forney,0.00943,0.316,0.685,0.267,0.179,0.68,1474,21.7,6,3,White
Green B Trimble Technical Hs,Dallas-Fort Worth-Arlington,Fort Worth,0.00930,0.977,0.023,0.667,0.626,0.52,1260,18.2,16,4,Minority
Aubrey High School,Dallas-Fort Worth-Arlington,Aubrey,0.00909,0.214,0.787,0.277,0.231,0.66,1486,22.8,5,1,White
South Garland High School,Dallas-Fort Worth-Arlington,Garland,0.00907,0.895,0.104,0.774,0.748,0.4,1248,17.3,4,4,Minority
Burleson High School,Dallas-Fort Worth-Arlington,Burleson,0.00896,0.261,0.739,0.375,0.336,0.54,1422,21,4,3,White
Kennedale High School,Dallas-Fort Worth-Arlington,Kennedale,0.00893,0.465,0.535,0.439,0.327,0.54,1445,21.3,6,2,White
Wylie East High School,Dallas-Fort Worth-Arlington,Wylie,0.00875,0.394,0.606,0.346,0.258,0.62,1445,21.7,7,3,White
C F Brewer High School,Dallas-Fort Worth-Arlington,Fort Worth,0.00852,0.46,0.54,0.521,0.454,0.53,1372,20.3,7,3,White
Southwest High School,Dallas-Fort Worth-Arlington,Fort Worth,0.00840,0.8,0.2,0.598,0.585,0.45,1280,18.2,6,2,Minority
Lincoln Humanities/Communications,Dallas-Fort Worth-Arlington,Dallas,0.00820,0.991,0.01,0.792,0.811,0.31,1081,14.8,4,1,Minority
Dr Ralph H Poteet High School,Dallas-Fort Worth-Arlington,Mesquite,0.00817,0.646,0.352,0.348,0.509,0.54,1365,20.1,9,3,Minority
Rockwall-Heath High School,Dallas-Fort Worth-Arlington,Heath,0.00811,0.34,0.66,0.227,0.259,0.62,1542,22.6,11,4,White
Evolution Academy Charter Schl,Dallas-Fort Worth-Arlington,Richardson,0.00806,0.873,0.129,0.924,0.486,0.26,1289,-1,1,1,Minority
Western Hills High School,Dallas-Fort Worth-Arlington,Fort Worth,0.00760,0.616,0.383,0.658,0.475,0.39,1227,17.7,4,2,Minority
Saginaw High School,Dallas-Fort Worth-Arlington,Saginaw,0.00759,0.562,0.438,0.356,0.421,0.45,1397,20,9,3,Minority
North Crowley High School,Dallas-Fort Worth-Arlington,Fort Worth,0.00750,0.769,0.231,0.602,0.548,0.41,1371,18.5,11,4,Minority
Anna High School,Dallas-Fort Worth-Arlington,Anna,0.00709,0.427,0.573,0.315,0.372,0.59,1454,21.5,1,1,White
Royse City High School,Dallas-Fort Worth-Arlington,Royse City,0.00685,0.391,0.61,0.274,0.316,0.67,1421,21.6,5,2,White
North Forney High School,Dallas-Fort Worth-Arlington,Forney,0.00683,0.437,0.562,0.436,0.259,0.64,1394,19.6,8,2,White
Thomas Jefferson High School,Dallas-Fort Worth-Arlington,Dallas,0.00683,0.987,0.013,0.828,0.863,0.43,1190,15.8,8,2,Minority
W H Adamson High School,Dallas-Fort Worth-Arlington,Dallas,0.00669,0.987,0.013,0.749,0.865,0.46,1209,15.9,7,2,Minority
Ferris High School,Dallas-Fort Worth-Arlington,Ferris,0.00654,0.749,0.252,0.438,0.722,0.44,1317,19.5,2,1,Minority
W W Samuell High School,Dallas-Fort Worth-Arlington,Dallas,0.00612,0.989,0.012,0.823,0.879,0.24,1103,15.3,3,2,Minority
Midlothian High School,Dallas-Fort Worth-Arlington,Midlothian,0.00593,0.285,0.715,0.338,0.164,0.69,1492,22.3,6,3,White
Azle High School,Dallas-Fort Worth-Arlington,Azle,0.00563,0.212,0.788,0.383,0.41,0.55,1446,22,4,2,White
Ennis High School,Dallas-Fort Worth-Arlington,Ennis,0.00535,0.667,0.333,0.581,0.627,0.47,1458,19.5,4,2,Minority
Springtown High School,Dallas-Fort Worth-Arlington,Springtown,0.00524,0.212,0.787,0.52,0.452,0.51,1450,21.8,1,1,White
Crowley High School,Dallas-Fort Worth-Arlington,Crowley,0.00459,0.707,0.293,0.599,0.606,0.36,1294,18.8,3,2,Minority
Alvarado High School,Dallas-Fort Worth-Arlington,Alvarado,0.00455,0.344,0.657,0.399,0.507,0.48,1367,18.6,2,1,White
Mabank High School,Dallas-Fort Worth-Arlington,Mabank,0.00446,0.172,0.828,0.447,0.516,0.57,1493,21.8,2,1,White
Sam Houston High School,Dallas-Fort Worth-Arlington,Arlington,0.00445,0.891,0.109,0.827,0.851,0.33,1266,16.9,6,3,Minority
H Grady Spruce High School,Dallas-Fort Worth-Arlington,Dallas,0.00441,0.978,0.023,0.84,0.896,0.32,1165,14.9,2,1,Minority
Birdville High School,Dallas-Fort Worth-Arlington,North Richland H,0.00440,0.397,0.603,0.388,0.347,0.63,1512,22.4,8,2,White
O D Wyatt Senior High School,Dallas-Fort Worth-Arlington,Ft Worth,0.00439,0.885,0.116,0.818,0.723,0.25,1064,15,5,1,Minority
West Mesquite High School,Dallas-Fort Worth-Arlington,Mesquite,0.00435,0.877,0.124,0.618,0.763,0.48,1313,19,10,2,Minority
Nimitz High School,Dallas-Fort Worth-Arlington,Irving,0.00423,0.842,0.159,0.703,0.732,0.47,1249,18.7,4,2,Minority
Amon Carter-Riverside High School,Dallas-Fort Worth-Arlington,Ft Worth,0.00408,0.913,0.088,0.757,0.829,0.39,1144,16.7,3,1,Minority
Lakeview Centennial Hs,Dallas-Fort Worth-Arlington,Garland,0.00389,0.735,0.266,0.604,0.557,0.48,1378,18.7,6,2,Minority
Mesquite High School,Dallas-Fort Worth-Arlington,Mesquite,0.00335,0.826,0.174,0.479,0.683,0.52,1307,18.1,12,2,Minority
Lone Star High School,Dallas-Fort Worth-Arlington,Frisco,0.00326,0.396,0.605,0.163,0.144,0.7,1529,22.5,8,1,White
Burleson Centennial High School,Dallas-Fort Worth-Arlington,Burleson,0.00297,0.271,0.728,0.372,0.283,0.61,1441,22.2,4,1,White
Bryan Adams High School,Dallas-Fort Worth-Arlington,Dallas,0.00272,0.923,0.078,0.749,0.843,0.36,1219,16.9,15,1,Minority
Sunset High School,Dallas-Fort Worth-Arlington,Dallas,0.00227,0.985,0.014,0.71,0.845,0.46,1215,16.7,16,1,Minority
Grand Prairie High School,Dallas-Fort Worth-Arlington,Grand Prairie,0.00197,0.911,0.088,0.694,0.798,0.43,1225,16.9,13,1,Minority
