High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Robert E Lee Senior Hs,Houston-The Woodlands-Sugar Land,Baytown,0.02193,0.865,0.134,0.627,0.725,0.45,1370,17.4,8,5,Minority
Tomball Memorial High School,Houston-The Woodlands-Sugar Land,Tomball,0.02018,0.348,0.652,0.248,0.129,0.71,1562,23.9,16,9,White
Oak Ridge High School,Houston-The Woodlands-Sugar Land,Conroe,0.01987,0.398,0.601,0.345,0.224,0.61,1469,21.5,30,15,White
John H Reagan Senior Hs,Houston-The Woodlands-Sugar Land,Houston,0.01927,0.945,0.054,0.698,0.758,0.45,1238,17.5,27,9,Minority
Cypress Lakes High School,Houston-The Woodlands-Sugar Land,Katy,0.01905,0.811,0.188,0.46,0.624,0.53,1427,20.7,31,16,Minority
Cypress Springs High School,Houston-The Woodlands-Sugar Land,Cypress,0.01903,0.852,0.149,0.45,0.695,0.47,1339,17.9,27,11,Minority
Dickinson High School,Houston-The Woodlands-Sugar Land,Dickinson,0.01869,0.651,0.35,0.481,0.543,0.6,1360,18.7,16,10,Minority
Atascocita High School,Houston-The Woodlands-Sugar Land,Humble,0.01868,0.538,0.462,0.515,0.256,0.54,1467,21.2,21,13,Minority
George Bush High School,Houston-The Woodlands-Sugar Land,Richmond,0.01867,0.809,0.191,0.459,0.575,0.46,1329,17.1,15,9,Minority
Alvin High School,Houston-The Woodlands-Sugar Land,Alvin,0.01844,0.536,0.464,0.46,0.474,0.53,1425,21.3,22,9,Minority
Royal High School,Houston-The Woodlands-Sugar Land,Pattison,0.01802,0.885,0.115,0.71,0.712,0.49,1309,19.5,4,2,Minority
Cesar E Chavez High School,Houston-The Woodlands-Sugar Land,Houston,0.01791,0.949,0.052,0.796,0.816,0.39,1186,17.4,25,12,Minority
Humble High School,Houston-The Woodlands-Sugar Land,Humble,0.01734,0.859,0.141,0.596,0.596,0.36,1273,17.7,9,6,Minority
Katy High School,Houston-The Woodlands-Sugar Land,Katy,0.01732,0.458,0.541,0.413,0.298,0.61,1518,21.8,28,11,White
La Porte High School,Houston-The Woodlands-Sugar Land,La Porte,0.01691,0.548,0.452,0.402,0.408,0.45,1395,18.9,10,7,Minority
Magnolia High School,Houston-The Woodlands-Sugar Land,Magnolia,0.01679,0.296,0.705,0.207,0.216,0.62,1495,22.5,12,7,White
Carver Magnet High School,Houston-The Woodlands-Sugar Land,Houston,0.01648,0.981,0.018,0.656,0.72,0.55,1319,18.1,8,3,Minority
Kipp Houston High School,Houston-The Woodlands-Sugar Land,Houston,0.01639,0.968,0.032,0.289,0.866,0.76,1469,20.5,8,2,Minority
Waller High School,Houston-The Woodlands-Sugar Land,Waller,0.01629,0.593,0.408,0.456,0.555,0.56,1380,19.6,8,5,Minority
S P Waltrip Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.01577,0.91,0.091,0.757,0.724,0.42,1203,17.5,10,5,Minority
Lamar Consolidated High School,Houston-The Woodlands-Sugar Land,Rosenberg,0.01538,0.768,0.233,0.635,0.516,0.5,1430,20.6,14,5,Minority
Texas City High School,Houston-The Woodlands-Sugar Land,Texas City,0.01527,0.619,0.381,0.511,0.552,0.41,1326,19.1,9,6,Minority
Caney Creek High School,Houston-The Woodlands-Sugar Land,Conroe,0.01493,0.468,0.533,0.622,0.622,0.43,1346,18.4,7,5,White
Evan E Worthing Sr High School,Houston-The Woodlands-Sugar Land,Houston,0.01449,0.991,0.009,0.865,0.734,0.16,1009,15.3,8,2,Minority
Alief Hastings High School,Houston-The Woodlands-Sugar Land,Houston,0.01443,0.853,0.147,0.711,0.758,0.46,1248,17.3,27,10,Minority
Andy Dekaney High School,Houston-The Woodlands-Sugar Land,Houston,0.01396,0.947,0.052,0.666,0.729,0.28,1087,17,17,8,Minority
Dayton High School,Houston-The Woodlands-Sugar Land,Dayton,0.01384,0.451,0.548,0.548,0.512,0.51,1375,18.3,4,4,White
Hargrave High School,Houston-The Woodlands-Sugar Land,Huffman,0.01382,0.185,0.815,0.342,0.257,0.53,1444,22.3,4,3,White
Clear Creek High School,Houston-The Woodlands-Sugar Land,League City,0.01365,0.414,0.586,0.434,0.234,0.71,1556,22.7,24,7,White
Elsik High School,Houston-The Woodlands-Sugar Land,Houston,0.01359,0.861,0.139,0.689,0.78,0.37,1229,17.5,28,10,Minority
Pasadena Memorial High School,Houston-The Woodlands-Sugar Land,Pasadena,0.01351,0.817,0.182,0.396,0.618,0.62,1394,20.9,25,9,Minority
Nimitz High School,Houston-The Woodlands-Sugar Land,Houston,0.01313,0.946,0.054,0.707,0.536,0.38,1266,18,11,6,Minority
Summer Creek High School,Houston-The Woodlands-Sugar Land,Houston,0.01311,0.825,0.175,0.47,0.49,0.42,1350,19.5,14,7,Minority
Santa Fe High School,Houston-The Woodlands-Sugar Land,Santa Fe,0.01307,0.191,0.809,0.508,0.197,0.38,1389,21,6,4,White
Angleton High School,Houston-The Woodlands-Sugar Land,Angleton,0.01282,0.572,0.428,0.546,0.492,0.55,1406,18.6,12,5,Minority
Morton Ranch High School,Houston-The Woodlands-Sugar Land,Katy,0.01274,0.746,0.254,0.511,0.568,0.49,1403,20.3,23,10,Minority
C E King High School,Houston-The Woodlands-Sugar Land,Houston,0.01263,0.923,0.076,0.671,0.682,0.47,1251,18.1,16,5,Minority
Sam Houston Math Science And Technology,Houston-The Woodlands-Sugar Land,Houston,0.01131,0.978,0.021,0.889,0.881,0.41,1077,15.1,12,5,Minority
Barbara Jordan High School,Houston-The Woodlands-Sugar Land,Houston,0.01117,0.989,0.011,0.697,0.832,0.33,1100,15.4,9,2,Minority
Brazoswood High School,Houston-The Woodlands-Sugar Land,Clute,0.01113,0.498,0.502,0.456,0.343,0.55,1513,23.1,13,6,White
Tomball High School,Houston-The Woodlands-Sugar Land,Tomball,0.01111,0.367,0.633,0.336,0.261,0.57,1488,22,12,4,White
Jack Yates High School,Houston-The Woodlands-Sugar Land,Houston,0.01081,0.992,0.008,0.863,0.729,0.26,1077,14.5,5,2,Minority
Galena Park High School,Houston-The Woodlands-Sugar Land,Galena Park,0.0108,0.967,0.032,0.602,0.779,0.53,1333,18.3,7,5,Minority
North Shore Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.01077,0.935,0.065,0.622,0.704,0.47,1314,17.8,20,11,Minority
Klein Forest High School,Houston-The Woodlands-Sugar Land,Houston,0.01068,0.849,0.152,0.593,0.752,0.45,1324,18.1,34,8,Minority
Goose Creek Memorial High School,Houston-The Woodlands-Sugar Land,Baytown,0.01061,0.682,0.318,0.34,0.441,0.46,1345,19.1,14,4,Minority
Pearland High School,Houston-The Woodlands-Sugar Land,Pearland,0.01061,0.498,0.503,0.348,0.263,0.65,1526,22.3,21,7,White
Thurgood Marshall High School,Houston-The Woodlands-Sugar Land,Missouri City,0.01031,0.974,0.027,0.594,0.632,0.3,1214,16.4,9,3,Minority
Spring High School,Houston-The Woodlands-Sugar Land,Spring,0.00994,0.72,0.279,0.613,0.552,0.4,1198,19.3,13,7,Minority
Houston Academy Intl Studies,Houston-The Woodlands-Sugar Land,Houston,0.00962,0.914,0.086,0.519,0.712,0.75,1366,19.9,6,1,Minority
Tarkington High School,Houston-The Woodlands-Sugar Land,Cleveland,0.00943,0.097,0.905,0.5,0.395,0.53,1446,18.4,2,1,White
Porter High School,Houston-The Woodlands-Sugar Land,Porter,0.00901,0.566,0.435,0.491,0.48,0.46,1429,21.1,7,3,Minority
Booker T Washington Senior Hs,Houston-The Woodlands-Sugar Land,Houston,0.00847,0.965,0.035,0.828,0.688,0.35,1143,19.4,6,1,Minority
B F Terry High School,Houston-The Woodlands-Sugar Land,Rosenberg,0.00836,0.867,0.133,0.664,0.615,0.53,1347,18.4,7,3,Minority
Deer Park High School South,Houston-The Woodlands-Sugar Land,Deer Park,0.00791,0.536,0.464,0.292,0.369,0.61,1450,20.8,24,7,Minority
Sam Rayburn High School,Houston-The Woodlands-Sugar Land,Pasadena,0.00786,0.933,0.067,0.537,0.773,0.38,1285,18.2,21,5,Minority
